UID,ID10,ETAG,BRD,YR,SEX,LINE,SEA,STM,PEN,SIRE,DAM,RGRP,F1,ELG,ELGI,ELGC,RC,NOBN,LBWN,PD,LOT,BAND,SPRGWT,FALLWT,BAG,VACC,BLED,GROUP,DISP,DAYDIS,TRT,BPEN,COND,LAP,BGRP,ADAM,RMK,YRREC
90IN02332,1989634053,K4053,63,89,2,60,1,06,601,285463,188363,,,,,,, 1,072,1,,2,130,146, 2,B,,,,,,633,3,,1,10,,1990
90IN02333,1989034054,L4054,03,89,1,70,1,30,703,099003,054403,,,1,,,,,,3,,Y,133,173,,C,+,,93,0814,,,,,,10,60S,1990
90IN02334,1989634056,K4056,63,89,1,61,1,06,611,351563,150163,,,,,,,,,1,,Y,141,193,,V,,,,,,,,,,10,,1990
90IN02335,1989034056,L4056,03,89,1,71,1,30,711,199903,796202,,,1,,,,,,3,X,Y,132,169,,V,,,93,1105,,,,,,10,"MESSCLUB,X",1990
90IN02336,1982194057,S4057,19,82,2,10,1,07,102,326619,806118,6,,,,,, 0,000,1,,5,172,0,,,,,,,,,,,F,80,,1990
90IN02337,1989634058,K4058,63,89,2,61,1,06,614,364563,273363,,,,,,, 1,072,1,,2,130,141, 2,B,,,,,,604,3,,1,10,,1990
90IN02338,1989034058,L4058,03,89,1,71,1,30,711,199903,811002,,,1,,,,,,2,X,Y,148,185,,V,+,,,,,,,,,10,KNOT JAW,1990
90IN02339,1989034059,L4059,03,89,2,81,1,30,704,052303,061803,,,1,,,, 2,163,1,,2,105,128, 1,C,,,,,,313,3,,2,10,,1990
90IN02340,1987804061,X4061,80,87,3,45,1,55,442,213980,347543,9,,,,,,,,4,,*,0,0,,,,F,,,,,,,,30,RUM.FISTULA,1990
90IN02341,1989034062,L4062,03,89,2,80,1,30,702,076903,706302,,,1,,,, 2,089,1,,1,129,162, 2,B,,,,,,301,3,,2,10,,1990
90IN02342,1989634062,K4062,63,89,2,60,1,06,603,296363,142163,,,,1,,1, 0,000,2,72,5,121,157, 1,A,,,92,0920,,,,,,10,,1990
90IN02343,1989634063,K4063,63,89,2,60,1,06,603,296363,142163,,,,,,, 1,000,1,,5,137,156, 1,A,,,,,,634,4,,1,10,,1990
90IN02344,1989034064,L4064,03,89,1,71,1,30,712,250303,818902,,,1,,,,,,C,,Y,150,181,,C,,,,,,327,,,2,10,,1990
90IN02345,1989634065,K4065,63,89,2,61,1,06,612,322063,030063,,,,1,,1, 0,000,2,72,5,124,158, 1,B,,,92,0920,,,,,,10,,1990
