UID,ETAG,AGE,LINE,RMK,BPEN,BGRP,RGRP,WORK
94BR00121,K3936,5.0,62,, 61,1,0,W
94BR00122,K3986,5.0,62,SW BAG, 63,1,0,W
94BR00123,K3753,6.0,62,FLTS, 68,1,0,W
94BR00124,K4106,5.0,60,, 03,1,0,W
94BR00125,K4108,5.0,62,, 64,1,0,W
94BR00126,K4109,5.0,61,, 13,1,0,W
94BR00127,K4122,5.0,61,, 14,1,0,W
94BR00128,K4185,5.0,68,, 54,1,0,W
94BR00129,K4090,5.0,61,, 12,1,0,W
94BR00130,K4074,5.0,62,, 53,1,0,W
94BR00131,K4316,5.0,60,"VLT,HEMOLACT.", 04,1,0,W
94BR00132,K4319,5.0,68,, 52,1,0,W
94BR00133,K4437,4.0,68,, 53,1,0,W
94BR00134,K4448,4.0,62,, 70,1,0,W
94BR00135,K4450,4.0,61,THIN 94, 11,1,0,W
94BR00136,K4453,4.0,62,, 69,1,0,W
94BR00137,K4491,4.0,62,"LAME TRT, OK", 53,1,0,W
94BR00138,K4490,4.0,60,WILDEWE, 01,1,0,W
94BR00139,K4470,4.0,62,, 71,1,0,W
94BR00140,K4515,4.0,60,, 52,1,0,W
94BR00141,K4546,4.0,61,SM.BAG, 13,1,0,W
94BR00142,K4520,4.0,62,, 60,1,0,W
94BR00143,K4589,4.0,68,, 54,1,0,W
94BR00144,K4591,4.0,61,, 14,1,0,W
94BR00145,K4599,4.0,62,, 61,1,0,W
94BR00146,K4603,4.0,61,VLTS, 54,1,0,W
94BR00147,K4605,4.0,60,, 02,1,0,W
94BR00148,K4637,4.0,61,, 11,1,0,W
94BR00149,K4643,4.0,60,, 03,1,0,W
94BR00150,K4666,4.0,68,, 51,1,0,W
94BR00151,K4667,4.0,60,FLTS, 04,1,0,W
94BR00152,K4628,4.0,62,, 62,1,0,W
94BR00153,K4691,4.0,61,SW BAG, 13,1,0,W
94BR00154,K4673,4.0,62,LAME, 63,1,0,W
