UID,ID,DATE,DAY,KG,LBS,BCS,FLWT,GRFL
22SH01364,T6467,2022-02-10,41,106.0,233,4.0,100,10.0
22SH01365,T6469,2022-02-10,41,102.0,224,5.0,80,8.0
22SH01366,T6479,2022-02-10,41,100.0,220,4.5,100,10.0
22SH01367,T6483,2022-02-10,41,102.0,224,4.0,130,13.0
22SH01368,T6525,2022-02-10,41,124.5,274,4.0,110,11.0
22SH01369,T6594,2022-02-10,41,103.0,227,4.5,110,11.0
22SH01370,T6601,2022-02-10,41,101.5,223,5.0,110,11.0
22SH01371,T6605,2022-02-10,41,111.5,245,4.5,120,12.0
22SH01372,T6623,2022-02-10,41,107.5,237,4.0,140,14.0
22SH01373,T6631,2022-02-10,41,109.0,240,4.5,100,10.0
22SH01374,T6632,2022-02-10,41,99.0,218,4.0,90,9.0
22SH01375,T6667,2022-02-10,41,110.5,243,5.0,110,11.0
22SH01376,T6673,2022-02-10,41,94.5,208,5.0,80,8.0
22SH01377,T6694,2022-02-10,41,106.0,233,4.0,110,11.0
22SH01378,T6700,2022-02-10,41,96.0,211,4.0,100,10.0
22SH01379,T6715,2022-02-10,41,111.5,245,4.5,120,12.0
22SH01380,T6724,2022-02-10,41,104.0,229,4.0,130,13.0
22SH01381,T6728,2022-02-10,41,104.0,229,4.5,80,8.0
22SH01382,T6738,2022-02-10,41,102.5,226,4.5,110,11.0
22SH01383,T6759,2022-02-10,41,108.5,239,4.5,100,10.0
22SH01384,T6767,2022-02-10,41,66.0,145,2.0,90,9.0
22SH01385,T6784,2022-02-10,41,102.0,224,4.5,100,10.0
22SH01386,T6805,2022-02-10,41,97.0,213,4.5,80,8.0
22SH01387,T6810,2022-02-10,41,92.0,202,3.5,80,8.0
22SH01388,T6818,2022-02-10,41,108.5,239,5.0,100,10.0
22SH01389,T6823,2022-02-10,41,109.5,241,4.0,110,11.0
22SH01390,T6825,2022-02-10,41,101.5,223,5.0,120,12.0
22SH01391,T6839,2022-02-10,41,109.5,241,4.5,80,8.0
22SH01392,T6858,2022-02-10,41,99.0,218,4.5,110,11.0
22SH01393,T6863,2022-02-10,41,68.0,150,3.0,80,8.0
22SH01394,T6917,2022-02-10,41,84.0,185,4.5,80,8.0
22SH01395,T6924,2022-02-10,41,97.0,213,4.0,110,11.0
22SH01396,T6927,2022-02-10,41,107.5,237,5.0,100,10.0
22SH01397,T6952,2022-02-10,41,113.5,250,5.0,120,12.0
22SH01398,T6963,2022-02-10,41,89.5,197,4.5,120,12.0
22SH01399,T6970,2022-02-10,41,96.5,212,4.0,130,13.0
22SH01400,T6986,2022-02-10,41,99.0,218,5.0,100,10.0
22SH01401,T6994,2022-02-10,41,96.5,212,4.5,100,10.0
22SH01402,T6995,2022-02-10,41,94.5,208,4.0,100,10.0
22SH01403,T6997,2022-02-10,41,104.0,229,4.5,110,11.0
22SH01404,T7011,2022-02-10,41,83.5,184,4.0,80,8.0
22SH01405,T7014,2022-02-10,41,89.5,197,4.0,130,13.0
22SH01406,T7020,2022-02-10,41,106.5,234,4.5,100,10.0
22SH01407,T7021,2022-02-10,41,100.0,220,4.5,120,12.0
22SH01408,T7026,2022-02-10,41,107.5,237,4.5,80,8.0
22SH01409,T7072,2022-02-10,41,96.0,211,4.5,120,12.0
22SH01410,T7076,2022-02-10,41,112.5,248,4.5,110,11.0
22SH01411,T7080,2022-02-10,41,114.5,252,4.0,120,12.0
22SH01412,T7126,2022-02-10,41,91.5,201,5.0,100,10.0
22SH01413,T7128,2022-02-10,41,112.0,246,5.0,100,10.0
22SH01414,T7144,2022-02-10,41,95.0,209,4.5,100,10.0
22SH01415,T7161,2022-02-10,41,105.0,231,5.0,90,9.0
22SH01416,T7173,2022-02-10,41,100.0,220,5.0,110,11.0
22SH01417,T7181,2022-02-10,41,93.5,206,4.5,90,9.0
22SH01418,T7183,2022-02-10,41,92.0,202,5.0,120,12.0
22SH01419,T7186,2022-02-10,41,106.5,234,4.5,80,8.0
