UID,ETAG,DATE,KG,LBS,FLWT,GRFL,GRADE
21SH00306,H9694,2021-02-11,96,211,60,6.0,A2
21SH00307,H9714,2021-02-11,109,239,90,9.0,A
21SH00308,H9715,2021-02-11,96,210,80,8.0,A4
21SH00309,H9720,2021-02-11,95,209,80,8.0,A
21SH00310,H9739,2021-02-11,93,204,80,8.0,A
21SH00311,H9754,2021-02-11,111,243,100,10.0,A2
21SH00312,H9762,2021-02-11,113,248,110,11.0,A
21SH00313,H9779,2021-02-11,124,273,100,10.0,A2
21SH00314,H9791,2021-02-11,94,206,100,10.0,A4
21SH00315,H9793,2021-02-11,108,238,90,9.0,A
21SH00316,H9807,2021-02-11,106,233,110,11.0,A
21SH00317,H9818,2021-02-11,101,221,70,7.0,A
21SH00318,H9833,2021-02-11,95,208,80,8.0,A4
21SH00319,H9846,2021-02-11,104,229,80,8.0,A4
21SH00320,H9865,2021-02-11,115,253,110,11.0,A
21SH00321,H9899,2021-02-11,98,216,90,9.0,A
21SH00322,H9900,2021-02-11,90,198,80,8.0,A
21SH00323,H9910,2021-02-11,82,180,80,8.0,A
21SH00324,H9916,2021-02-11,106,233,90,9.0,A
21SH00325,H9923,2021-02-11,105,230,90,9.0,A4
21SH00326,H9944,2021-02-11,101,221,90,9.0,A
21SH00327,H9964,2021-02-11,86,188,90,9.0,A
21SH00328,H9974,2021-02-10,108,237,80,8.0,A4
21SH00329,H9980,2021-02-10,113,249,70,7.0,A4
21SH00330,H9982,2021-02-10,84,184,80,8.0,A4
21SH00331,H9989,2021-02-10,98,215,80,8.0,A4
21SH00332,H9994,2021-02-10,89,196,100,10.0,A2
21SH00333,K5131,2021-02-11,115,253,120,12.0,A
21SH00334,K5132,2021-02-11,110,241,130,13.0,A
21SH00335,K5133,2021-02-11,86,189,90,9.0,A
21SH00336,K5136,2021-02-11,114,250,80,8.0,A
21SH00337,K5137,2021-02-11,92,202,110,11.0,A
21SH00338,K5139,2021-02-11,117,256,120,12.0,A
21SH00339,K5150,2021-02-11,109,239,120,12.0,A
21SH00340,K5170,2021-02-11,112,246,110,11.0,A
21SH00341,K5171,2021-02-11,96,211,120,12.0,A
21SH00342,K5173,2021-02-11,107,234,110,11.0,A
21SH00343,K5182,2021-02-11,104,229,110,11.0,A
21SH00344,K5187,2021-02-10,92,202,110,11.0,A
21SH00345,K5194,2021-02-10,108,237,90,9.0,A
21SH00346,K5201,2021-02-10,110,242,120,12.0,A
21SH00347,K5202,2021-02-10,100,220,110,11.0,A2
21SH00348,K5203,2021-02-10,81,177,90,9.0,A
21SH00349,K5205,2021-02-10,115,253,130,13.0,A
21SH00350,K5207,2021-02-10,103,226,90,9.0,A
21SH00351,K5209,2021-02-10,112,246,110,11.0,A4
21SH00352,K5211,2021-02-10,100,219,120,12.0,A
21SH00353,K5217,2021-02-10,88,194,70,7.0,A
21SH00354,K5225,2021-02-10,77,168,100,10.0,A2
21SH00355,K5230,2021-02-10,115,252,110,11.0,A
21SH00356,K5235,2021-02-10,97,212,110,11.0,A
21SH00357,K5236,2021-02-10,103,226,120,12.0,A
21SH00358,K5244,2021-02-10,81,178,80,8.0,A2
21SH00359,K5245,2021-02-10,86,189,90,9.0,A
21SH00360,K5246,2021-02-11,103,226,120,12.0,A
