UID,LAMB,SEX,BRWT,GRFL,FLWT,BAND,WDAY,STM,RMK,ADG,DISP
14SH01414,Z1726,1,0,5.0,50,,50,CS,CS  Yrlng Ram,0,
14SH01415,L1175,1,0,6.6,66,,50,PC,Yrlng Ram,0,
14SH01416,Z1552,1,0,3.4,34,,50,CS,CS  Yrlng Ram,0,
14SH01417,L1221,1,0,4.6,46,,50,PC,Yrlng Ram,0,
14SH01418,Z1514,1,0,6.8,68,,50,CS,CS  Yrlng Ram,0,
14SH01419,Z1601,1,0,5.4,54,,50,SC,SC  Yrlng Ram,0,
14SH01420,Z1795,1,0,4.6,46,,50,CS,CS  Yrlng Ram,0,
14SH01421,Z1555,1,0,5.4,54,,50,SC,SC  Yrlng Ram,0,
14SH01422,L1368,1,0,5.2,52,,50,PC,Yrlng Ram,0,
14SH01423,L1441,1,0,4.8,48,,50,PC,Yrlng Ram,0,
14SH01424,L1127,1,0,7.4,74,,50,PC,Yrlng Ram,0,
14SH01425,L1324,1,0,5.2,52,,50,PC,Yrlng Ram,0,
14SH01426,L1339,1,0,5.4,54,,50,PC,Yrlng Ram,0,
14SH01427,Z1665,1,0,6.0,60,,50,SC,SC  Yrlng Ram,0,
14SH01428,L1151,1,0,4.0,40,,50,PC,Yrlng Ram,0,
14SH01429,Z1160,1,0,7.8,78,,50,CS,CS  Mature Ram,0,
14SH01430,L0762,1,0,8.4,84,,50,PC,Mature Ram,0,
14SH01431,L0912,1,0,9.4,94,,50,PC,Mature Ram,0,
14SH01432,L0734,1,0,7.4,74,,50,PC,Mature Ram,0,
14SH01433,Z0034,1,0,10.0,100,,50,SC,SC  Mature Ram,0,
14SH01434,Z0955,1,0,6.4,64,,50,SC,SC  Mature Ram,0,
14SH01435,Z1259,1,0,10.0,100,,50,SC,SC  Mature Ram,0,
14SH01436,Z0785,1,0,12.0,120,,50,VAL,VAL Mature Ram,0,
14SH01437,Z0199,1,0,12.0,120,,50,SC,SC  Mature Ram,0,
