UID,ID,GRFL,FLWT,DAY,STM,CATEGORY,AGE
17SH00496,L1734,6.2,62,47,PC,,2.0
17SH00497,L1742,6.2,62,47,PC,,1.0
17SH00498,L1743,7.8,78,47,PC,,1.0
17SH00499,L1744,6.4,64,47,PC,,1.0
17SH00500,L1745,6.4,64,47,PC,,1.0
17SH00501,L1747,7.8,78,47,PC,,1.0
17SH00502,L1749,7.2,72,47,PC,,1.0
17SH00503,L1751,7.6,76,47,PC,,1.0
17SH00504,L1752,9.6,96,47,PC,,1.0
17SH00505,L1753,5.8,58,47,PC,,1.0
17SH00506,L1754,6.0,60,47,PC,,1.0
17SH00507,L1756,9.2,92,47,PC,,1.0
17SH00508,L1757,6.8,68,47,PC,,1.0
17SH00509,L1759,6.8,68,47,PC,,1.0
17SH00510,L1760,6.8,68,47,PC,,1.0
17SH00511,L1762,6.2,62,47,PC,,1.0
17SH00512,L1764,7.4,74,47,PC,,1.0
17SH00513,L1765,7.0,70,47,PC,,1.0
17SH00514,L1768,8.6,86,47,PC,,1.0
17SH00515,L1772,6.4,64,47,PC,,1.0
17SH00516,L1774,6.8,68,47,PC,,1.0
17SH00517,L1776,7.2,72,47,PC,,1.0
17SH00518,L1781,8.4,84,47,PC,,1.0
17SH00519,L1785,6.8,68,47,PC,,1.0
17SH00520,L1787,7.0,70,47,PC,,1.0
17SH00521,L1788,8.2,82,47,PC,,1.0
17SH00522,L1790,8.2,82,47,PC,,1.0
17SH00523,L1791,7.0,70,47,PC,,1.0
17SH00524,L1792,5.6,56,47,PC,,1.0
17SH00525,L1793,6.0,60,47,PC,,1.0
17SH00526,L1794,6.0,60,47,PC,,1.0
17SH00527,L1795,4.4,44,47,PC,,1.0
17SH00528,L1797,6.8,68,47,PC,,1.0
17SH00529,L1799,7.2,72,47,PC,,1.0
17SH00530,L1800,8.0,80,47,PC,,1.0
17SH00531,L1801,7.8,78,47,PC,,1.0
17SH00532,L1802,7.0,70,47,PC,,1.0
17SH00533,L1804,5.4,54,47,PC,,1.0
17SH00534,L1805,8.6,86,47,PC,,1.0
17SH00535,L1808,5.8,58,47,PC,,1.0
17SH00536,L1815,6.2,62,47,PC,,1.0
17SH00537,L1817,6.2,62,47,PC,,1.0
17SH00538,L1822,7.6,76,47,PC,,1.0
17SH00539,L1823,6.6,66,47,PC,,1.0
17SH00540,L1824,7.8,78,47,PC,,1.0
17SH00541,L1825,6.8,68,47,PC,,1.0
17SH00542,L1826,10.6,106,47,PC,,1.0
17SH00543,L1828,6.4,64,47,PC,,1.0
17SH00544,L1830,8.0,80,47,PC,,1.0
17SH00545,L1833,6.2,62,47,PC,,1.0
