original_id10,hx_id10,birth_year,breed,etag
1948139411,HX00001838,1948,13,9411
1948139412,HX00001839,1948,13,9412
1948139413,HX00001840,1948,13,9413
1948139418,HX00001841,1948,13,9418
1948139420,HX00001842,1948,13,9420
1948139423,HX00001843,1948,13,9423
1948139424,HX00001844,1948,13,9424
1948139425,HX00001845,1948,13,9425
1948139426,HX00001846,1948,13,9426
1948139427,HX00001847,1948,13,9427
1948139428,HX00001848,1948,13,9428
1948139432,HX00001849,1948,13,9432
1948139433,HX00001850,1948,13,9433
1948139440,HX00001851,1948,13,9440
1948139444,HX00001852,1948,13,9444
1948139446,HX00001853,1948,13,9446
1948139447,HX00001854,1948,13,9447
1948139448,HX00001855,1948,13,9448
1948139451,HX00001856,1948,13,9451
1948139453,HX00001857,1948,13,9453
1948139455,HX00001858,1948,13,9455
1948139459,HX00001859,1948,13,9459
