UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDZ65,CLR,ALTID,INBRL,CULLPILE,YRREC
10IN03074,2009827575,X7575,82,X7575,09,2,,1,S3,19,X3137,82,X5336,82,,,,1,,2,,110,146,1,,,,,4,1,1.0,,,,0,5,,0.0,,2010
10IN03075,2009828017,X8017,82,X8017,09,2,,1,S3,e11,  451,00,X6689,82,,,,1,,2,,104,129,2,,,,,3,1,1.0,,,,0,5,,0.0,,2010
10IN03076,2009827290,X7290,82,X7290,09,2,,1,S3,16,X4987,82,X4494,82,,,,1,,2,,122,163,2,,,,,3,1,1.0,,,,0,5,,0.0,,2010
10IN03077,2009828018,X8018,82,X8018,09,2,,1,S3,e11,  451,00,X6689,82,,,,1,,D,,101,151,1,,,,,4,1,1.0,,,,0,5,,0.0,,2010
10IN03078,2009055328,H5328,05,H5328,09,2,,1,30,52,H3271,05,H1338,05,,,,6,,,,0,,,,01,0112,,,,1.0,,,,0,1,,0.055,,2010
10IN03079,2009055431,H5431,05,H5431,09,2,,1,30,49,H2171,05,H1397,05,,,,1,,2,,113,151,1,,,,,57,2,1.0,,,,0,1,,0.045,,2010
10IN03080,2009055141,H5141,05,H5141,09,2,,1,30,53,H3424,05,H1956,05,,,,1,,2,,97,131,2,,,,,65,2,1.0,,,,0,1,,0.053,,2010
10IN03081,2009055006,H5006,05,H5006,09,2,,1,30,49,H2171,05,H2873,05,,,,1,,2,,108,153,2,,,,,58,2,1.0,,,,0,1,,0.053,,2010
10IN03082,2009055254,H5254,05,H5254,09,2,,1,30,e18,H3545,05,H3938,05,,,,3,,D,,104,148,1,,93,1019,,,,1.0,,,,9975,1,,0.043,,2010
10IN03083,2009055193,H5193,05,H5193,09,2,,1,30,e18,H3545,05,H4257,05,,,,1,,1,,95,142,1,,,,,69,2,1.0,,,,0,1,,0.066,,2010
