UID,DATEBN,SEX,LAMB,LBRD,Y0,LINE,BPEN,DAM,DBRD,STMD,LTRT,Y5A,SERIES,ADAM,F1F2,CLR,STM,SPEC,JAW,DAYBRN,TB,TRT1,DAYDIS,MILK,ABEWE,DISP,TRT2,FONO,FOPU,TRT3,SIRE,SBRD,Y1,Y6,LNDAM,TM,Y4,CAUSE,Y2,Y3,BRWT,Y5,ABLMB,TRT4,CDNO,YR
81LA01503,1981-04-21,2,S3978,19,1,11,113,S0590,19,07,,1,,40,,1,07,,1,111,8,,0,3,,,,,,,S3008,19,1,70,11,6,1,,1,2,097,10,,,1,81
81LA01504,1981-04-21,2,S3979,19,,11,113,S0590,19,07,,1,,40,,1,07,,1,111,8,,0,3,,,,,,,S3008,19,0,65,11,6,1,,0,0,097,10,,,2,81
81LA01505,1981-04-02,1,S3441,19,1,12,931,S0592,19,07,,1,,40,,1,07,,2,92,5,,0,2,,,,,,,S2286,19,1,69,12,3,1,,1,1,108,10,,,1,81
81LA01506,1981-04-17,2,S3957,19,1,13,133,S0597,19,07,,1,,40,,1,07,,1,107,5,,0,4,,,,,,,S2872,19,1,75,13,6,1,,1,1,104,10,,,1,81
81LA01507,1981-04-06,2,S3640,19,1,10,104,S0600,19,07,,1,,40,,1,07,,1,96,5,,0,4,,,,,,,S2148,19,1,85,10,2,1,,1,1,105,10,,,1,81
81LA01508,1981-04-14,2,S3902,19,1,10,101,S0601,19,07,,1,,40,,1,07,,1,104,5,,0,4,,,,,,,S2245,19,1,75,10,2,1,,1,1,094,10,,,1,81
81LA01509,1981-04-04,1,S3577,19,1,10,104,S0602,19,07,,1,,40,,1,07,,1,94,5,,0,4,,,,,,,S2148,19,1,88,10,2,1,,1,1,142,10,,,1,81
81LA01510,1981-04-15,2,M1603,94,1,31,707,S0608,19,07,,1,,40,,1,31,,1,105,8,,0,3,,,,,,,P8768,01,1,57,11,4,1,,1,2,077,10,,,1,81
81LA01511,1981-04-15,1,M1604,94,,31,707,S0608,19,07,,1,,40,,1,31,,1,105,8,,0,3,,,,,,,P8768,01,0,54,11,4,1,,0,0,097,10,,,2,81
81LA01512,1981-04-13,1,S3857,19,1,12,941,S0611,19,07,,,,40,,1,07,,1,103,8,,105,4,10,6,,137094,+,,S2121,19,1,0,12,3,1,01,1,2,092,5,,,1,81
