UID,DAM,DBRD,LNDAM,BPEN,TRT,SYNC,ADAM,AGE,STMD,BGRP,GRP,DATE,TB,MILK,SEX,BRWT,CLR,JAW,LAMB,LBRD,DISP,DAYDIS,CAUSE,FONO,RMK,ABEWE,ABLMB,CDNO,SIRE,SBRD,STM,LINE,DAYBRN,FOPU,Y0,Y1,Y2,Y3,Y4,Y5A,Y5,Y6,JY4,JUWT,JDAY,BAND,SPEC,VC,ML,DATEBN,YR,INBRL
91LA01152,L4393,03,83,331,,,20,2.0,30,2,,0418,9,3,1,7.4,1,2,L7636,03,,0,,,,,,3,L3943,03,30,83,108,,0,0,0,0,1,1,10,73,1,46,178,2,,,0,1991-04-18,91,0.055
91LA01153,L4401,03,80,304,,,20,2.0,30,2,,0420,8,1,2,7.3,1,1,L7730,03,,0,,,SM.BAG,**,,1,L3822,03,30,80,110,,1,1,1,2,1,1,10,83,1,51,178,2,,,0,1991-04-20,91,0.044
91LA01154,L4401,03,80,304,,,20,2.0,30,2,,0420,8,1,2,6.9,1,3,L7731,03,3,112,93,,HAIRY,,,2,L3822,03,30,80,110,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-20,91,0.044
91LA01155,L4690,03,82,P-5,,,10,1.0,30,L,,0331,8,2,3,8.7,1,1,L6531,03,,0,,,,,,1,L3467,03,30,82,90,,1,1,1,2,1,1,10,95,1,72,177,1,,,0,1991-03-31,91,0.104
91LA01156,L4690,03,82,P-5,,,10,1.0,30,L,,0331,8,2,2,5.1,1,1,L6532,03,3,95,93,,PINK,,,2,L3467,03,30,82,90,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-03-31,91,0.104
91LA01157,L4692,03,83,P-7,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L3541,03,30,83,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA01158,L4693,03,80,P-2,,,10,1.0,30,L,,0402,5,2,3,10.1,1,1,L6584,03,,0,,,,,,1,L4292,03,30,80,92,,1,1,1,1,1,1,10,99,1,75,177,1,,,0,1991-04-02,91,0.07
91LA01159,L4697,03,81,P-4,,,10,1.0,30,L,,0306,2,0,,0.0,,,,,0,65,,,,,,1,L3737,03,30,81,65,,1,1,1,2,0,0,0,0,0,0,0,,,,0,1991-03-06,91,0.0
91LA01160,L4697,03,81,P-4,,,10,1.0,30,L,,0306,2,0,,0.0,,,,,0,65,,,,,,2,L3737,03,30,81,65,,0,0,0,0,0,0,0,0,0,0,0,,,,0,1991-03-06,91,0.0
91LA01161,L4699,03,82,P-5,,,10,1.0,30,L,,0328,1,0,1,3.0,1,1,,,1,87,44,,DRY,,,1,L3467,03,30,82,87,,1,1,1,1,0,0,0,0,0,0,0,,,,0,1991-03-28,91,0.0
91LA01162,L4702,03,82,P-5,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L3467,03,30,82,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA01163,L4703,03,82,P-5,,,10,1.0,30,L,,0410,5,2,2,8.4,1,1,L7002,03,,0,,,,,,1,L3467,03,30,82,100,,1,1,1,1,1,1,10,84,1,55,177,1,,,0,1991-04-10,91,0.051
91LA01164,L4706,03,82,P-5,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L3467,03,30,82,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
91LA01165,L4713,03,80,P-1,,,10,1.0,30,L,,0413,8,2,3,7.9,1,1,L7208,03,,0,,,HAIRY,,,1,L3624,03,30,80,103,,1,1,1,2,1,1,10,61,1,33,177,1,,,0,1991-04-13,91,0.078
91LA01166,L4713,03,80,P-1,,,10,1.0,30,L,,0413,8,2,2,6.6,1,1,L7209,03,,0,,,,,,2,L3624,03,30,80,103,,0,0,0,0,1,1,10,70,1,39,177,1,,,0,1991-04-13,91,0.078
91LA01167,L4719,03,80,P-2,,,10,1.0,30,L,,0401,8,2,3,6.1,1,1,L6552,03,,0,,,,,,1,L4292,03,30,80,91,,1,1,1,2,1,1,10,88,1,63,177,1,,,0,1991-04-01,91,0.049
91LA01168,L4719,03,80,P-2,,,10,1.0,30,L,,0401,8,2,3,6.1,1,1,L6553,03,3,95,93,,PINK,,,2,L4292,03,30,80,91,&,0,0,0,0,1,0,0,0,0,0,0,,,,0,1991-04-01,91,0.049
91LA01169,L4727,03,82,P-5,,,10,1.0,30,L,,0403,5,2,2,9.6,1,1,L6612,03,,0,,,,,,1,L3467,03,30,82,93,,1,1,1,1,1,1,10,92,1,70,177,1,,,0,1991-04-03,91,0.047
91LA01170,L4730,03,80,P-1,,,10,1.0,30,L,,,,,,0.0,,,,,,0,,,,,,1,L3624,03,30,80,0,,1,1,0,0,0,0,0,0,0,0,0,,,,0,,91,0.0
