UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,BGRP,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,PD,BPEN,STUDY,SAMPLE,MICRON,SD,CV,CEM,PF,DIGR
02PR00257,K1990,1,06,68,01,1,1.0,7,L,GRP,1,3,8.3,3.3,,1,.,Adg,y,24.9,4.0,15.9,6.8,7.5,60
02PR00258,K1701,1,06,68,01,1,1.0,7,L,SAV,1,3-,9.0,3.5,,1,.,Adg,y,29.1,5.3,18.2,9.2,36.7,54
02PR00259,K1741,1,06,68,01,1,1.0,7,L,GRP,2,3+,8.2,3.2,,1,.,Adg,y,29.2,5.6,19.1,9.6,40.7,54
02PR00260,K1748,1,05,00,01,1,1.0,0,L,.,2,3+,6.6,2.6,,1,.,Clpg,N,,,,,0.0,0
02PR00261,K1751,1,06,68,01,1,1.0,7,L,GRP,1,3,9.2,3.6,,1,.,Adg,y,27.5,4.9,17.9,8.5,24.2,56
02PR00262,K1750,1,05,00,01,1,1.0,0,L,.,3,3,6.5,2.6,,1,.,Clpg,N,,,,,0.0,0
02PR00263,K1753,1,06,68,01,1,1.0,7,L,PIN,2,3+,11.5,4.5,,1,.,Adg,y,29.9,5.9,19.8,10.3,44.3,50
02PR00264,K1754,1,06,68,01,1,1.0,7,L,GRP,2,3,8.8,3.5,,1,.,Adg,y,26.8,5.0,18.6,9.0,22.9,56
02PR00265,K1757,1,06,68,01,1,1.0,7,L,PIN,1,3,9.1,3.6,#11 BV >FIRE4,1,.,Adg,y,29.7,6.3,21.3,11.6,40.7,50
02PR00266,K1723,1,05,00,01,1,1.0,0,L,.,2,3+,6.8,2.7,,1,.,Clpg,N,,,,,0.0,0
02PR00267,K1795,1,06,68,01,1,1.0,7,L,GRP,1,3+,7.7,3.0,PNEU,1,.,Adg,y,25.5,4.0,15.8,7.3,10.8,58
02PR00268,K1798,1,06,68,01,1,1.0,7,L,GRP,1,3,8.7,3.4,"WEAK,SCOURS",1,.,Adg,y,26.8,5.0,18.4,9.1,21.6,56
02PR00269,K0150,1,05,00,98,1,4.0,0,M,.,3,3,10.0,3.9,H3,1,52,CLPG,N,,,,,0.0,0
02PR00270,K0649,1,06,68,99,1,3.0,7,M,.,1,3+,8.8,3.5,,1,03,ADG,y,29.9,5.0,16.9,8.7,42.3,50
02PR00271,K0694,1,05,00,99,1,3.0,0,M,.,2,3,7.8,3.1,"MsgBovis,NICE",1,.,CLPG,N,,,,,0.0,0
02PR00272,K0269,1,05,00,98,1,4.0,0,M,.,1,3+,10.2,4.0,,1,51,CLPG,N,,,,,0.0,0
02PR00273,K0299,1,05,00,98,1,4.0,0,M,.,4,4-,8.3,3.3,"H4, F3-",1,52a,CLPG,N,,,,,0.0,0
02PR00274,K0824,1,05,00,99,1,3.0,0,M,.,1,2-,8.9,3.5,,1,.,CLPG,N,,,,,0.0,0
02PR00275,K0825,1,05,00,99,1,3.0,0,M,.,2,3-,9.4,3.7,DUD,1,.,CLPG,N,,,,,0.0,0
02PR00276,K0905,1,06,68,99,1,3.0,7,M,.,1,2+,11.0,4.3,"adg1.000,DUD",1,05,ADG,y,33.6,5.0,14.8,8.7,76.2,46
